index,hour,latency,uptime
0,0,55,100
0,1,55,100
0,2,56,100
0,3,54,100
0,4,117,100
0,5,87,100
0,6,135,100
0,7,102,100
0,8,84,100
0,9,59,100
0,10,55,100
0,11,53,100
0,12,60,100
0,13,84,100
0,14,83,100
0,15,78,100
0,16,121,100
0,17,70,100
0,18,81,100
0,19,61,100
0,20,53,100
0,21,54,100
0,22,62,100
0,23,57,100
1,0,236,100
1,1,203,100
1,2,196,100
1,3,236,100
1,4,375,100
1,5,271,100
1,6,328,100
1,7,330,100
1,8,452,100
1,9,257,100
1,10,284,100
1,11,365,100
1,12,283,100
1,13,213,100
1,14,325,100
1,15,229,100
1,16,331,100
1,17,282,100
1,18,258,100
1,19,288,100
1,20,217,100
1,21,255,100
1,22,304,100
1,23,221,100
2,0,196,100
2,1,353,100
2,2,243,100
2,3,230,100
2,4,287,100
2,5,234,100
2,6,317,100
2,7,273,100
2,8,220,100
2,9,248,100
2,10,422,100
2,11,209,100
2,12,219,100
2,13,218,100
2,14,329,100
2,15,427,100
2,16,250,100
2,17,244,100
2,18,219,100
2,19,637,100
2,20,215,100
2,21,206,100
2,22,258,100
2,23,198,100
3,0,222,100
3,1,275,100
3,2,199,100
3,3,347,100
3,4,231,100
3,5,236,100
3,6,305,100
3,7,264,100
3,8,242,100
3,9,236,100
3,10,239,100
3,11,221,100
3,12,252,100
3,13,247,100
3,14,284,100
3,15,432,100
3,16,258,100
3,17,249,100
3,18,349,100
3,19,1123,91.67
3,20,283,100
3,21,261,100
3,22,268,100
3,23,236,100
4,0,250,100
4,1,454,100
4,2,258,100
4,3,198,100
4,4,314,100
4,5,426,100
4,6,290,100
4,7,356,100
4,8,283,100
4,9,323,100
4,10,330,100
4,11,405,100
4,12,239,100
4,13,500,100
4,14,621,100
4,15,237,100
4,16,291,100
4,17,628,100
4,18,645,100
4,19,474,100
4,20,382,100
4,21,224,100
4,22,290,100
4,23,188,100
5,0,215,100
5,1,233,100
5,2,231,100
5,3,217,100
5,4,289,100
5,5,242,100
5,6,319,100
5,7,260,100
5,8,291,100
5,9,303,100
5,10,298,100
5,11,410,100
5,12,267,100
5,13,500,100
5,14,218,100
5,15,221,100
5,16,539,100
5,17,365,100
5,18,245,100
5,19,263,100
5,20,245,100
5,21,261,100
5,22,223,100
5,23,182,100
6,0,211,100
6,1,228,100
6,2,244,100
6,3,242,100
6,4,266,100
6,5,370,100
6,6,319,100
6,7,269,100
6,8,256,100
6,9,270,100
6,10,315,100
6,11,415,100
6,12,222,100
6,13,235,100
6,14,288,100
6,15,236,100
6,16,285,100
6,17,262,100
6,18,248,100
6,19,797,100
6,20,253,100
6,21,236,100
6,22,324,100
6,23,184,100
7,0,228,100
7,1,209,100
7,2,261,100
7,3,207,100
7,4,275,100
7,5,300,100
7,6,258,100
7,7,1020,91.67
7,8,271,100
7,9,212,100
7,10,223,100
7,11,338,100
7,12,642,100
7,13,238,100
7,14,245,100
7,15,303,100
7,16,211,100
7,17,202,100
7,18,233,100
7,19,200,100
7,20,221,100
7,21,264,100
7,22,208,100
7,23,218,100
8,0,236,100
8,1,201,100
8,2,230,100
8,3,240,100
8,4,235,100
8,5,244,100
8,6,202,100
8,7,217,100
8,8,229,100
8,9,197,100
8,10,619,100
8,11,563,100
8,12,210,100
8,13,214,100
8,14,274,100
8,15,192,100
8,16,224,100
8,17,638,91.67
8,18,249,100
8,19,197,100
8,20,239,100
8,21,258,100
8,22,254,100
8,23,193,100
9,0,241,100
9,1,206,100
9,2,257,100
9,3,204,100
9,4,306,100
9,5,301,100
9,6,253,100
9,7,196,100
9,8,356,100
9,9,240,100
9,10,225,100
9,11,336,100
9,12,246,100
9,13,192,100
9,14,729,100
9,15,222,100
9,16,230,100
9,17,213,100
9,18,237,100
9,19,362,100
9,20,221,100
9,21,260,100
9,22,190,100
9,23,189,100
10,0,400,100
10,1,317,100
10,2,314,100
10,3,326,100
10,4,315,100
10,5,313,100
10,6,315,100
10,7,310,100
10,8,312,100
10,9,314,100
10,10,312,100
10,11,313,100
10,12,314,100
10,13,311,100
10,14,311,100
10,15,314,100
10,16,313,100
10,17,314,100
10,18,332,100
10,19,311,100
10,20,314,100
10,21,316,100
10,22,362,100
10,23,312,100
11,0,311,100
11,1,401,100
11,2,310,100
11,3,324,100
11,4,314,100
11,5,312,100
11,6,313,100
11,7,309,100
11,8,310,100
11,9,310,100
11,10,311,100
11,11,309,100
11,12,311,100
11,13,396,100
11,14,310,100
11,15,310,100
11,16,310,100
11,17,312,100
11,18,330,100
11,19,312,100
11,20,310,100
11,21,315,100
11,22,353,100
11,23,312,100
12,0,344,100
12,1,328,100
12,2,328,100
12,3,341,100
12,4,625,100
12,5,340,100
12,6,334,100
12,7,333,100
12,8,348,100
12,9,499,100
12,10,343,100
12,11,333,100
12,12,383,100
12,13,337,100
12,14,332,100
12,15,333,100
12,16,331,100
12,17,334,100
12,18,348,100
12,19,337,100
12,20,350,100
12,21,329,100
12,22,377,100
12,23,333,100
13,0,309,100
13,1,317,100
13,2,311,100
13,3,327,100
13,4,313,100
13,5,311,100
13,6,311,100
13,7,310,100
13,8,312,100
13,9,311,100
13,10,311,100
13,11,310,100
13,12,312,100
13,13,310,100
13,14,313,100
13,15,315,100
13,16,313,100
13,17,310,100
13,18,328,100
13,19,401,100
13,20,311,100
13,21,312,100
13,22,360,100
13,23,311,100
14,0,406,100
14,1,430,100
14,2,413,100
14,3,397,100
14,4,380,100
14,5,376,100
14,6,396,100
14,7,401,100
14,8,427,100
14,9,431,100
14,10,381,100
14,11,723,100
14,12,396,100
14,13,571,100
14,14,369,100
14,15,413,100
14,16,420,100
14,17,526,100
14,18,384,100
14,19,663,100
14,20,422,100
14,21,371,100
14,22,417,100
14,23,542,100
15,0,285,100
15,1,294,100
15,2,324,100
15,3,300,100
15,4,280,100
15,5,290,100
15,6,302,100
15,7,282,100
15,8,285,100
15,9,313,100
15,10,290,100
15,11,338,100
15,12,353,100
15,13,355,100
15,14,352,100
15,15,340,100
15,16,347,100
15,17,336,100
15,18,386,100
15,19,325,100
15,20,318,100
15,21,297,100
15,22,320,100
15,23,293,100
16,0,220,100
16,1,225,100
16,2,219,100
16,3,230,100
16,4,213,100
16,5,224,100
16,6,229,100
16,7,225,100
16,8,225,100
16,9,268,100
16,10,250,100
16,11,279,100
16,12,275,100
16,13,298,100
16,14,282,100
16,15,283,100
16,16,279,100
16,17,235,100
16,18,243,100
16,19,244,100
16,20,229,100
16,21,218,100
16,22,220,100
16,23,225,100
17,0,29,100
17,1,29,100
17,2,29,100
17,3,28,100
17,4,29,100
17,5,30,100
17,6,31,100
17,7,50,100
17,8,30,100
17,9,32,100
17,10,36,100
17,11,44,100
17,12,36,100
17,13,55,100
17,14,51,100
17,15,57,100
17,16,50,100
17,17,58,100
17,18,68,100
17,19,58,100
17,20,54,100
17,21,42,100
17,22,41,100
17,23,34,100
18,0,26,100
18,1,27,100
18,2,26,100
18,3,26,100
18,4,27,100
18,5,27,100
18,6,27,100
18,7,28,100
18,8,27,100
18,9,28,100
18,10,42,100
18,11,41,100
18,12,39,100
18,13,45,100
18,14,56,100
18,15,55,100
18,16,62,100
18,17,64,100
18,18,66,100
18,19,62,100
18,20,54,100
18,21,41,100
18,22,38,100
18,23,38,100
19,0,27,100
19,1,27,100
19,2,28,100
19,3,28,100
19,4,31,100
19,5,29,100
19,6,30,100
19,7,28,100
19,8,30,100
19,9,30,100
19,10,47,100
19,11,29,100
19,12,38,100
19,13,37,100
19,14,36,100
19,15,36,100
19,16,32,100
19,17,37,100
19,18,39,100
19,19,33,100
19,20,30,100
19,21,30,100
19,22,28,100
19,23,36,100
20,0,32,100
20,1,59,100
20,2,28,100
20,3,28,100
20,4,29,100
20,5,29,100
20,6,29,100
20,7,29,100
20,8,30,100
20,9,31,100
20,10,37,100
20,11,34,100
20,12,36,100
20,13,40,100
20,14,43,100
20,15,37,100
20,16,36,100
20,17,38,100
20,18,50,100
20,19,41,100
20,20,40,100
20,21,32,100
20,22,31,100
20,23,31,100
21,0,66,100
21,1,56,100
21,2,73,100
21,3,80,100
21,4,79,100
21,5,52,100
21,6,61,100
21,7,61,100
21,8,71,100
21,9,56,100
21,10,46,100
21,11,68,100
21,12,79,100
21,13,58,100
21,14,61,100
21,15,61,100
21,16,64,100
21,17,74,100
21,18,73,100
21,19,107,100
21,20,81,100
21,21,60,100
21,22,65,100
21,23,69,100
22,0,68,100
22,1,92,100
22,2,59,100
22,3,52,100
22,4,100,100
22,5,52,100
22,6,69,100
22,7,52,100
22,8,55,100
22,9,49,100
22,10,53,100
22,11,91,100
22,12,50,100
22,13,61,100
22,14,58,100
22,15,60,100
22,16,64,100
22,17,77,100
22,18,72,100
22,19,117,100
22,20,94,100
22,21,56,100
22,22,62,100
22,23,74,100
23,0,28,100
23,1,29,100
23,2,28,100
23,3,29,100
23,4,28,100
23,5,52,100
23,6,30,100
23,7,29,100
23,8,30,100
23,9,32,100
23,10,43,100
23,11,35,100
23,12,31,100
23,13,135,100
23,14,32,100
23,15,37,100
23,16,51,100
23,17,55,100
23,18,55,100
23,19,52,100
23,20,46,100
23,21,45,100
23,22,32,100
23,23,40,100
24,0,32,100
24,1,32,100
24,2,32,100
24,3,32,100
24,4,33,100
24,5,27,100
24,6,67,100
24,7,28,100
24,8,29,100
24,9,29,100
24,10,37,100
24,11,35,100
24,12,35,100
24,13,36,100
24,14,43,100
24,15,38,100
24,16,47,100
24,17,54,100
24,18,71,100
24,19,121,100
24,20,61,100
24,21,40,100
24,22,42,100
24,23,32,100
25,0,27,100
25,1,29,100
25,2,28,100
25,3,29,100
25,4,28,100
25,5,53,100
25,6,31,100
25,7,40,100
25,8,32,100
25,9,34,100
25,10,31,100
25,11,33,100
