index,hour,latency,uptime
0,0,43,100
0,1,46,100
0,2,43,100
0,3,43,100
0,4,44,100
0,5,43,100
0,6,44,100
0,7,43,100
0,8,45,100
0,9,43,100
0,10,43,100
0,11,43,100
0,12,44,100
0,13,136,100
0,14,43,100
0,15,44,100
0,16,44,100
0,17,43,100
0,18,43,100
0,19,71,100
0,20,52,100
0,21,43,100
0,22,43,100
0,23,44,100
1,0,165,100
1,1,189,100
1,2,188,100
1,3,190,100
1,4,239,100
1,5,223,100
1,6,192,100
1,7,218,100
1,8,193,100
1,9,173,100
1,10,189,100
1,11,192,100
1,12,232,100
1,13,191,100
1,14,191,100
1,15,174,100
1,16,171,100
1,17,173,100
1,18,166,100
1,19,196,100
1,20,170,100
1,21,222,100
1,22,213,100
1,23,593,100
2,0,167,100
2,1,169,100
2,2,171,100
2,3,175,100
2,4,170,100
2,5,172,100
2,6,172,100
2,7,197,100
2,8,196,100
2,9,195,100
2,10,180,100
2,11,194,100
2,12,178,100
2,13,192,100
2,14,305,100
2,15,173,100
2,16,198,100
2,17,171,100
2,18,218,100
2,19,176,100
2,20,179,100
2,21,171,100
2,22,170,100
2,23,169,100
3,0,194,100
3,1,194,100
3,2,176,100
3,3,181,100
3,4,180,100
3,5,200,100
3,6,207,100
3,7,177,100
3,8,198,100
3,9,204,100
3,10,199,100
3,11,176,100
3,12,184,100
3,13,589,100
3,14,178,100
3,15,373,100
3,16,201,100
3,17,178,100
3,18,401,100
3,19,180,100
3,20,187,100
3,21,182,100
3,22,181,100
3,23,182,100
4,0,213,100
4,1,170,100
4,2,237,100
4,3,190,100
4,4,290,100
4,5,192,100
4,6,221,100
4,7,210,100
4,8,217,100
4,9,195,100
4,10,201,100
4,11,194,100
4,12,194,100
4,13,193,100
4,14,404,100
4,15,226,100
4,16,167,100
4,17,994,91.67
4,18,374,100
4,19,174,100
4,20,171,100
4,21,210,100
4,22,219,100
4,23,213,100
5,0,214,100
5,1,189,100
5,2,221,100
5,3,188,100
5,4,194,100
5,5,192,100
5,6,301,100
5,7,220,100
5,8,296,100
5,9,223,100
5,10,169,100
5,11,167,100
5,12,192,100
5,13,206,100
5,14,185,100
5,15,172,100
5,16,193,100
5,17,260,100
5,18,192,100
5,19,252,100
5,20,277,100
5,21,175,100
5,22,168,100
5,23,227,100
6,0,186,100
6,1,186,100
6,2,193,100
6,3,196,100
6,4,241,100
6,5,192,100
6,6,167,100
6,7,191,100
6,8,195,100
6,9,191,100
6,10,170,100
6,11,191,100
6,12,223,100
6,13,215,100
6,14,171,100
6,15,193,100
6,16,188,100
6,17,197,100
6,18,171,100
6,19,218,100
6,20,165,100
6,21,197,100
6,22,240,100
6,23,200,100
7,0,167,100
7,1,164,100
7,2,169,100
7,3,247,100
7,4,167,100
7,5,169,100
7,6,167,100
7,7,178,100
7,8,193,100
7,9,168,100
7,10,169,100
7,11,175,100
7,12,168,100
7,13,171,100
7,14,166,100
7,15,166,100
7,16,169,100
7,17,257,100
7,18,167,100
7,19,172,100
7,20,168,100
7,21,170,100
7,22,168,100
7,23,166,100
8,0,254,100
8,1,168,100
8,2,167,100
8,3,167,100
8,4,165,100
8,5,169,100
8,6,174,100
8,7,171,100
8,8,169,100
8,9,260,100
8,10,168,100
8,11,176,100
8,12,172,100
8,13,170,100
8,14,167,100
8,15,174,100
8,16,167,100
8,17,255,100
8,18,166,100
8,19,170,100
8,20,165,100
8,21,167,100
8,22,167,100
8,23,169,100
9,0,167,100
9,1,188,100
9,2,188,100
9,3,166,100
9,4,169,100
9,5,165,100
9,6,167,100
9,7,167,100
9,8,170,100
9,9,186,100
9,10,172,100
9,11,168,100
9,12,173,100
9,13,170,100
9,14,188,100
9,15,165,100
9,16,171,100
9,17,172,100
9,18,179,100
9,19,173,100
9,20,168,100
9,21,167,100
9,22,165,100
9,23,174,100
10,0,307,100
10,1,307,100
10,2,306,100
10,3,307,100
10,4,306,100
10,5,306,100
10,6,307,100
10,7,307,100
10,8,307,100
10,9,306,100
10,10,307,100
10,11,305,100
10,12,308,100
10,13,304,100
10,14,308,100
10,15,309,100
10,16,310,100
10,17,308,100
10,18,319,100
10,19,318,100
10,20,306,100
10,21,308,100
10,22,306,100
10,23,308,100
11,0,304,100
11,1,303,100
11,2,304,100
11,3,304,100
11,4,305,100
11,5,306,100
11,6,307,100
11,7,304,100
11,8,303,100
11,9,303,100
11,10,305,100
11,11,305,100
11,12,302,100
11,13,306,100
11,14,304,100
11,15,304,100
11,16,304,100
11,17,303,100
11,18,335,100
11,19,356,100
11,20,305,100
11,21,306,100
11,22,305,100
11,23,307,100
12,0,326,100
12,1,319,100
12,2,324,100
12,3,320,100
12,4,322,100
12,5,316,100
12,6,321,100
12,7,315,100
12,8,326,100
12,9,325,100
12,10,315,100
12,11,318,100
12,12,316,100
12,13,326,100
12,14,321,100
12,15,326,100
12,16,321,100
12,17,324,100
12,18,668,100
12,19,622,100
12,20,318,100
12,21,318,100
12,22,322,100
12,23,318,100
13,0,304,100
13,1,302,100
13,2,305,100
13,3,303,100
13,4,303,100
13,5,305,100
13,6,305,100
13,7,303,100
13,8,307,100
13,9,303,100
13,10,302,100
13,11,305,100
13,12,305,100
13,13,304,100
13,14,306,100
13,15,308,100
13,16,304,100
13,17,306,100
13,18,450,100
13,19,401,100
13,20,306,100
13,21,305,100
13,22,305,100
13,23,305,100
14,0,424,100
14,1,329,100
14,2,348,100
14,3,351,100
14,4,341,100
14,5,373,100
14,6,357,100
14,7,340,100
14,8,632,100
14,9,339,100
14,10,357,100
14,11,348,100
14,12,354,100
14,13,348,100
14,14,352,100
14,15,366,100
14,16,350,100
14,17,358,100
14,18,386,100
14,19,469,100
14,20,564,100
14,21,368,100
14,22,360,100
14,23,357,100
15,0,379,100
15,1,369,100
15,2,377,100
15,3,370,100
15,4,368,100
15,5,380,100
15,6,390,100
15,7,654,100
15,8,842,100
15,9,464,100
15,10,529,100
15,11,510,100
15,12,457,100
15,13,476,100
15,14,485,100
15,15,469,100
15,16,456,100
15,17,462,100
15,18,483,100
15,19,496,100
15,20,452,100
15,21,407,100
15,22,378,100
15,23,370,100
16,0,157,100
16,1,153,100
16,2,153,100
16,3,155,100
16,4,159,100
16,5,157,100
16,6,161,100
16,7,164,100
16,8,173,100
16,9,172,100
16,10,180,100
16,11,185,100
16,12,195,100
16,13,196,100
16,14,200,100
16,15,189,100
16,16,189,100
16,17,190,100
16,18,192,100
16,19,197,100
16,20,188,100
16,21,177,100
16,22,161,100
16,23,159,100
17,0,30,100
17,1,35,100
17,2,42,100
17,3,35,100
17,4,58,100
17,5,39,100
17,6,39,100
17,7,62,100
17,8,44,100
17,9,45,100
17,10,44,100
17,11,42,100
17,12,45,100
17,13,44,100
17,14,49,100
17,15,45,100
17,16,46,100
17,17,42,100
17,18,44,100
17,19,45,100
17,20,44,100
17,21,42,100
17,22,38,100
17,23,39,100
18,0,33,100
18,1,39,100
18,2,43,100
18,3,44,100
18,4,48,100
18,5,36,100
18,6,36,100
18,7,75,100
18,8,40,100
18,9,36,100
18,10,36,100
18,11,37,100
18,12,44,100
18,13,39,100
18,14,38,100
18,15,40,100
18,16,34,100
18,17,33,100
18,18,34,100
18,19,35,100
18,20,36,100
18,21,34,100
18,22,32,100
18,23,32,100
19,0,33,100
19,1,40,100
19,2,40,100
19,3,38,100
19,4,47,100
19,5,39,100
19,6,40,100
19,7,61,100
19,8,42,100
19,9,42,100
19,10,43,100
19,11,43,100
19,12,43,100
19,13,44,100
19,14,45,100
19,15,41,100
19,16,36,100
19,17,35,100
19,18,36,100
19,19,35,100
19,20,35,100
19,21,37,100
19,22,39,100
19,23,41,100
20,0,27,100
20,1,28,100
20,2,29,100
20,3,30,100
20,4,37,100
20,5,35,100
20,6,38,100
20,7,139,100
20,8,39,100
20,9,39,100
20,10,38,100
20,11,39,100
20,12,38,100
20,13,39,100
20,14,38,100
20,15,33,100
20,16,32,100
20,17,34,100
20,18,32,100
20,19,33,100
20,20,32,100
20,21,32,100
20,22,33,100
20,23,36,100
21,0,78,100
