index,hour,latency,uptime
0,0,56,100
0,1,76,100
0,2,60,100
0,3,58,100
0,4,309,100
0,5,77,100
0,6,86,100
0,7,80,100
0,8,72,100
0,9,74,100
0,10,258,100
0,11,63,100
0,12,66,100
0,13,899,91.67
0,14,67,100
0,15,289,100
0,16,64,100
0,17,63,100
0,18,72,100
0,19,70,100
0,20,53,100
0,21,54,100
0,22,52,100
0,23,52,100
1,0,238,100
1,1,248,100
1,2,254,100
1,3,282,100
1,4,264,100
1,5,318,100
1,6,304,100
1,7,312,100
1,8,289,100
1,9,701,100
1,10,282,100
1,11,274,100
1,12,285,100
1,13,312,100
1,14,297,100
1,15,367,100
1,16,227,100
1,17,286,100
1,18,253,100
1,19,250,100
1,20,444,100
1,21,326,100
1,22,268,100
1,23,292,100
2,0,198,100
2,1,255,100
2,2,214,100
2,3,223,100
2,4,311,100
2,5,202,100
2,6,215,100
2,7,264,100
2,8,281,100
2,9,200,100
2,10,242,100
2,11,286,100
2,12,401,100
2,13,368,100
2,14,202,100
2,15,242,100
2,16,250,100
2,17,206,100
2,18,252,100
2,19,250,100
2,20,308,100
2,21,206,100
2,22,194,100
2,23,228,100
3,0,229,100
3,1,239,100
3,2,245,100
3,3,282,100
3,4,498,100
3,5,205,100
3,6,249,100
3,7,369,100
3,8,249,100
3,9,232,100
3,10,224,100
3,11,225,100
3,12,231,100
3,13,351,100
3,14,321,100
3,15,228,100
3,16,230,100
3,17,233,100
3,18,236,100
3,19,230,100
3,20,213,100
3,21,222,100
3,22,228,100
3,23,269,100
4,0,332,100
4,1,264,100
4,2,262,100
4,3,235,100
4,4,551,100
4,5,314,100
4,6,296,100
4,7,570,100
4,8,566,100
4,9,314,100
4,10,272,100
4,11,274,100
4,12,241,100
4,13,567,100
4,14,245,100
4,15,256,100
4,16,289,100
4,17,242,100
4,18,227,100
4,19,1017,91.67
4,20,234,100
4,21,268,100
4,22,447,100
4,23,194,100
5,0,243,100
5,1,356,100
5,2,223,100
5,3,275,100
5,4,253,100
5,5,250,100
5,6,473,100
5,7,281,100
5,8,249,100
5,9,302,100
5,10,253,100
5,11,295,100
5,12,299,100
5,13,390,100
5,14,460,100
5,15,321,100
5,16,359,100
5,17,241,100
5,18,418,100
5,19,228,100
5,20,221,100
5,21,244,100
5,22,260,100
5,23,221,100
6,0,203,100
6,1,228,100
6,2,508,100
6,3,364,100
6,4,266,100
6,5,259,100
6,6,377,100
6,7,597,100
6,8,258,100
6,9,305,100
6,10,257,100
6,11,326,100
6,12,288,100
6,13,267,100
6,14,279,100
6,15,304,100
6,16,254,100
6,17,239,100
6,18,262,100
6,19,253,100
6,20,426,100
6,21,352,100
6,22,257,100
6,23,313,100
7,0,193,100
7,1,296,100
7,2,240,100
7,3,203,100
7,4,199,100
7,5,311,100
7,6,295,100
7,7,205,100
7,8,222,100
7,9,289,100
7,10,636,91.67
7,11,254,100
7,12,259,100
7,13,430,100
7,14,203,100
7,15,253,100
7,16,229,100
7,17,198,100
7,18,199,100
7,19,309,100
7,20,212,100
7,21,207,100
7,22,215,100
7,23,194,100
8,0,221,100
