index,hour,latency,uptime
0,0,130,100
0,1,43,100
0,2,42,100
0,3,45,100
0,4,43,100
0,5,54,100
0,6,81,100
0,7,43,100
0,8,44,100
0,9,44,100
0,10,52,100
0,11,44,100
0,12,43,100
0,13,43,100
0,14,43,100
0,15,42,100
0,16,42,100
0,17,52,100
0,18,43,100
0,19,45,100
0,20,45,100
0,21,44,100
0,22,45,100
0,23,43,100
1,0,192,100
1,1,215,100
1,2,192,100
1,3,216,100
1,4,236,100
1,5,217,100
1,6,225,100
1,7,269,100
1,8,268,100
1,9,219,100
1,10,246,100
1,11,218,100
1,12,219,100
1,13,222,100
1,14,243,100
1,15,286,100
1,16,210,100
1,17,178,100
1,18,221,100
1,19,197,100
1,20,230,100
1,21,243,100
1,22,226,100
1,23,194,100
2,0,196,100
2,1,198,100
2,2,218,100
2,3,171,100
2,4,173,100
2,5,193,100
2,6,192,100
2,7,174,100
2,8,215,100
2,9,180,100
2,10,196,100
2,11,174,100
2,12,253,100
2,13,169,100
2,14,176,100
2,15,195,100
2,16,168,100
2,17,175,100
2,18,203,100
2,19,195,100
2,20,169,100
2,21,167,100
2,22,192,100
2,23,169,100
3,0,677,100
3,1,180,100
3,2,181,100
3,3,185,100
3,4,204,100
3,5,208,100
3,6,222,100
3,7,183,100
3,8,178,100
3,9,215,100
3,10,179,100
3,11,179,100
3,12,187,100
3,13,202,100
3,14,192,100
3,15,177,100
3,16,180,100
3,17,180,100
3,18,175,100
3,19,180,100
3,20,199,100
3,21,196,100
3,22,178,100
3,23,201,100
4,0,218,100
4,1,239,100
4,2,236,100
4,3,167,100
4,4,194,100
4,5,167,100
4,6,267,100
4,7,191,100
4,8,284,100
4,9,264,100
4,10,267,100
4,11,195,100
4,12,240,100
4,13,192,100
4,14,225,100
4,15,195,100
4,16,190,100
4,17,211,100
4,18,214,100
4,19,198,100
4,20,169,100
4,21,191,100
4,22,186,100
4,23,238,100
5,0,215,100
5,1,1034,91.67
5,2,215,100
5,3,166,100
5,4,199,100
5,5,215,100
5,6,276,100
5,7,236,100
5,8,258,100
5,9,262,100
5,10,219,100
5,11,242,100
5,12,295,100
5,13,214,100
5,14,280,100
5,15,237,100
5,16,260,100
5,17,275,100
5,18,166,100
5,19,219,100
5,20,168,100
5,21,190,100
5,22,190,100
5,23,211,100
