index,hour,latency,uptime
0,0,60,100
0,1,42,100
0,2,41,100
0,3,80,100
0,4,42,100
0,5,43,100
0,6,51,100
0,7,51,100
0,8,50,100
0,9,1714,83.33
0,10,53,100
0,11,50,100
0,12,51,100
0,13,79,100
0,14,45,100
0,15,129,100
0,16,44,100
0,17,43,100
0,18,42,100
0,19,42,100
0,20,41,100
0,21,42,100
0,22,41,100
0,23,129,100
1,0,161,100
1,1,185,100
1,2,176,100
1,3,168,100
1,4,1631,91.67
1,5,164,100
1,6,186,100
1,7,181,100
1,8,182,100
1,9,210,100
1,10,194,100
1,11,613,100
1,12,222,100
1,13,218,100
1,14,173,100
1,15,165,100
1,16,170,100
1,17,175,100
1,18,186,100
1,19,219,100
1,20,201,100
1,21,264,100
1,22,165,100
1,23,162,100
2,0,453,100
2,1,170,100
2,2,198,100
2,3,201,100
2,4,184,100
2,5,217,100
2,6,190,100
2,7,189,100
2,8,191,100
2,9,300,100
2,10,263,100
2,11,185,100
2,12,632,100
2,13,184,100
2,14,172,100
2,15,185,100
2,16,212,100
2,17,186,100
2,18,276,100
2,19,203,100
2,20,191,100
2,21,175,100
2,22,165,100
2,23,185,100
3,0,174,100
3,1,284,100
3,2,623,100
3,3,196,100
3,4,178,100
3,5,241,100
3,6,1042,91.67
3,7,197,100
3,8,284,100
3,9,245,100
3,10,193,100
3,11,207,100
3,12,633,100
3,13,198,100
3,14,190,100
3,15,218,100
3,16,178,100
3,17,187,100
3,18,184,100
3,19,804,100
3,20,173,100
3,21,174,100
3,22,596,100
3,23,369,100
4,0,389,100
4,1,1014,91.67
4,2,176,100
4,3,195,100
4,4,984,83.33
4,5,171,100
4,6,200,100
4,7,189,100
4,8,185,100
4,9,204,91.67
4,10,191,100
4,11,210,100
4,12,192,100
4,13,192,100
4,14,175,100
4,15,167,100
4,16,226,100
4,17,206,91.67
4,18,212,100
4,19,175,100
4,20,219,100
4,21,168,100
4,22,175,100
4,23,193,100
5,0,206,100
5,1,170,100
5,2,266,100
5,3,183,100
5,4,166,100
5,5,176,100
5,6,182,100
5,7,191,100
5,8,187,100
5,9,195,100
5,10,186,100
5,11,188,100
5,12,195,100
5,13,201,100
5,14,189,100
5,15,179,100
5,16,174,100
5,17,225,100
5,18,203,100
5,19,190,100
5,20,198,100
5,21,197,100
5,22,168,100
5,23,175,100
6,0,173,100
6,1,166,100
6,2,171,100
6,3,187,100
6,4,160,91.67
6,5,162,100
6,6,197,100
6,7,184,100
6,8,220,100
6,9,185,100
6,10,181,100
6,11,182,100
6,12,186,100
6,13,235,100
6,14,176,100
6,15,192,100
6,16,168,100
6,17,171,100
6,18,217,100
6,19,452,100
6,20,170,100
6,21,448,100
6,22,390,100
6,23,207,100
7,0,605,100
7,1,168,100
7,2,293,100
7,3,170,100
7,4,195,100
7,5,163,100
7,6,272,100
7,7,183,100
7,8,193,100
7,9,196,100
7,10,177,100
7,11,190,100
7,12,179,100
7,13,596,100
7,14,193,100
7,15,165,100
7,16,173,100
7,17,173,100
7,18,625,100
7,19,171,100
7,20,180,100
7,21,169,100
7,22,161,100
7,23,180,100
8,0,169,100
8,1,163,100
8,2,172,100
8,3,171,100
8,4,166,100
8,5,174,100
8,6,184,100
8,7,193,100
8,8,184,100
8,9,190,100
8,10,182,100
8,11,196,100
8,12,186,100
8,13,198,100
8,14,173,100
8,15,164,100
8,16,193,100
8,17,169,100
8,18,181,100
8,19,181,100
8,20,166,100
8,21,484,100
8,22,164,100
8,23,167,100
9,0,395,100
9,1,162,100
9,2,170,100
9,3,168,100
9,4,169,100
9,5,166,100
9,6,183,100
9,7,208,100
9,8,184,100
9,9,191,100
9,10,177,100
9,11,194,100
9,12,179,100
9,13,189,100
9,14,168,100
9,15,161,100
9,16,173,100
9,17,172,100
9,18,178,100
9,19,173,100
9,20,175,100
9,21,166,100
9,22,262,100
9,23,193,100
10,0,316,100
10,1,317,100
10,2,317,100
10,3,314,100
10,4,314,100
10,5,333,100
10,6,313,100
10,7,315,100
10,8,318,100
10,9,317,100
10,10,314,100
10,11,313,100
10,12,316,100
10,13,314,100
10,14,315,100
10,15,350,100
10,16,315,100
10,17,319,100
10,18,319,100
10,19,340,100
10,20,412,100
10,21,329,100
10,22,348,100
10,23,317,100
11,0,313,100
11,1,313,100
11,2,311,100
11,3,312,100
11,4,313,100
11,5,322,100
11,6,312,100
11,7,312,100
11,8,335,100
11,9,310,100
11,10,313,100
11,11,312,100
11,12,309,100
11,13,312,100
11,14,323,100
11,15,336,100
11,16,313,100
11,17,312,100
11,18,313,100
11,19,331,100
11,20,347,100
11,21,329,100
11,22,342,100
11,23,314,100
12,0,352,100
12,1,389,100
12,2,486,100
12,3,653,100
12,4,353,100
12,5,346,100
12,6,330,100
12,7,356,100
12,8,370,100
12,9,347,100
12,10,357,100
12,11,469,100
12,12,342,100
12,13,471,100
12,14,485,100
12,15,360,100
12,16,362,100
12,17,350,100
12,18,1109,100
12,19,713,100
12,20,347,100
12,21,509,100
12,22,424,100
12,23,353,100
13,0,311,100
13,1,326,100
13,2,310,100
13,3,311,100
13,4,313,100
13,5,315,100
13,6,314,100
13,7,314,100
13,8,325,100
13,9,312,100
13,10,315,100
13,11,318,100
13,12,328,100
13,13,313,100
13,14,316,100
13,15,329,100
13,16,365,100
13,17,309,100
13,18,313,100
13,19,318,100
13,20,312,100
13,21,317,100
13,22,349,100
13,23,314,100
14,0,590,100
14,1,589,100
14,2,451,100
14,3,451,100
14,4,520,100
14,5,525,100
14,6,492,100
14,7,495,100
14,8,577,100
14,9,550,100
14,10,513,100
14,11,530,100
14,12,482,100
14,13,395,100
14,14,855,100
14,15,477,100
14,16,1035,100
14,17,573,100
14,18,590,100
14,19,423,100
14,20,403,100
14,21,542,100
14,22,505,100
14,23,796,100
15,0,292,100
15,1,301,100
15,2,289,100
15,3,286,100
15,4,284,100
15,5,279,100
15,6,287,100
15,7,402,100
15,8,389,100
15,9,287,100
15,10,321,100
15,11,358,100
15,12,441,100
15,13,307,100
15,14,339,100
15,15,343,100
15,16,321,100
15,17,604,100
15,18,344,100
15,19,325,100
