index,hour,latency,uptime
0,0,42,100
0,1,42,100
0,2,59,100
0,3,42,100
0,4,41,100
0,5,42,100
0,6,42,100
0,7,47,100
0,8,42,100
0,9,42,100
0,10,45,100
0,11,45,100
0,12,43,100
0,13,42,100
0,14,42,100
0,15,40,100
0,16,42,100
0,17,41,100
0,18,43,100
0,19,42,100
0,20,42,100
0,21,41,100
0,22,44,100
0,23,60,100
1,0,231,100
1,1,164,100
1,2,235,100
1,3,272,100
1,4,163,100
1,5,167,100
1,6,195,100
1,7,188,100
1,8,280,100
1,9,169,100
1,10,189,100
1,11,211,100
1,12,586,100
1,13,193,100
1,14,526,100
1,15,197,100
1,16,194,100
1,17,189,100
1,18,180,100
1,19,192,100
1,20,175,100
1,21,381,100
1,22,182,100
1,23,174,100
2,0,172,100
2,1,168,100
2,2,989,91.67
2,3,173,100
2,4,221,100
2,5,174,100
2,6,193,100
2,7,170,100
2,8,168,100
2,9,169,100
2,10,168,100
2,11,170,100
2,12,174,100
2,13,171,100
2,14,174,100
2,15,429,100
2,16,173,100
2,17,167,100
2,18,221,100
2,19,224,100
2,20,174,100
2,21,168,100
2,22,170,100
2,23,172,100
3,0,237,100
3,1,212,100
3,2,217,100
3,3,175,100
3,4,242,100
3,5,181,100
3,6,199,100
3,7,286,100
3,8,330,100
3,9,176,100
3,10,202,100
3,11,179,100
3,12,287,100
3,13,203,100
3,14,196,100
3,15,230,100
3,16,181,100
3,17,183,100
3,18,197,100
3,19,178,100
3,20,186,100
3,21,287,100
3,22,178,100
3,23,211,100
4,0,236,100
4,1,163,100
4,2,237,100
4,3,185,100
4,4,184,100
4,5,173,100
4,6,190,100
4,7,187,100
4,8,169,100
4,9,198,100
4,10,219,100
4,11,281,100
4,12,173,100
4,13,214,100
4,14,188,100
4,15,183,91.67
4,16,167,100
4,17,189,100
4,18,235,100
4,19,167,100
4,20,193,100
4,21,216,100
4,22,195,100
4,23,182,91.67
5,0,166,100
5,1,188,100
5,2,235,100
5,3,190,100
5,4,187,100
5,5,213,100
5,6,171,100
5,7,169,100
5,8,298,100
5,9,199,100
5,10,203,100
5,11,519,100
5,12,191,100
5,13,200,100
5,14,213,100
5,15,168,100
5,16,167,100
5,17,190,100
5,18,168,100
5,19,319,100
5,20,195,100
5,21,248,100
5,22,418,100
5,23,170,100
6,0,163,100
6,1,171,100
6,2,209,100
6,3,413,100
6,4,162,100
6,5,258,100
6,6,191,100
6,7,232,100
6,8,190,100
6,9,173,100
6,10,178,100
6,11,242,100
6,12,172,100
6,13,285,100
6,14,237,100
6,15,199,100
6,16,164,100
6,17,225,91.67
6,18,171,100
6,19,189,100
6,20,187,100
6,21,273,100
6,22,821,100
6,23,170,100
7,0,164,100
7,1,164,100
7,2,165,100
7,3,164,100
7,4,162,100
7,5,165,100
7,6,169,100
7,7,195,100
7,8,190,100
7,9,169,100
7,10,167,100
7,11,167,100
7,12,171,100
7,13,173,100
7,14,187,100
7,15,165,100
7,16,166,100
7,17,174,100
7,18,174,100
7,19,169,100
7,20,166,100
7,21,171,100
7,22,165,100
7,23,189,100
8,0,161,100
8,1,163,100
8,2,164,100
8,3,164,100
8,4,165,100
8,5,164,100
8,6,162,100
8,7,162,100
8,8,164,100
8,9,164,100
8,10,165,100
8,11,161,100
8,12,163,100
8,13,166,100
8,14,164,100
8,15,187,100
8,16,169,100
8,17,177,100
8,18,164,100
8,19,162,100
8,20,188,100
8,21,179,100
8,22,171,100
8,23,161,100
9,0,162,100
9,1,165,100
9,2,169,100
9,3,166,100
9,4,245,100
9,5,161,100
9,6,166,100
9,7,171,100
9,8,164,100
9,9,176,100
9,10,166,100
9,11,167,100
9,12,171,100
9,13,259,100
9,14,164,100
9,15,164,100
9,16,167,100
9,17,168,100
9,18,160,100
9,19,164,100
9,20,170,100
9,21,186,100
9,22,164,100
9,23,164,100
10,0,309,100
10,1,313,100
10,2,314,100
10,3,324,100
10,4,311,100
10,5,426,100
10,6,311,100
10,7,311,100
10,8,309,100
10,9,310,100
10,10,312,100
10,11,311,100
10,12,309,100
10,13,312,100
10,14,310,100
10,15,309,100
10,16,311,100
10,17,310,100
10,18,310,100
10,19,308,100
10,20,313,100
10,21,306,100
10,22,304,100
10,23,306,100
11,0,310,100
11,1,310,100
11,2,310,100
11,3,314,100
11,4,310,100
11,5,514,100
11,6,308,100
11,7,311,100
11,8,311,100
11,9,308,100
11,10,309,100
11,11,312,100
11,12,311,100
11,13,307,100
11,14,308,100
11,15,308,100
11,16,308,100
11,17,310,100
11,18,310,100
11,19,310,100
11,20,310,100
11,21,304,100
11,22,305,100
11,23,304,100
12,0,326,100
12,1,338,100
12,2,320,100
12,3,477,100
12,4,331,100
12,5,1308,91.67
12,6,329,100
12,7,322,100
12,8,342,100
12,9,326,100
12,10,334,100
12,11,333,100
12,12,331,100
12,13,332,100
12,14,603,100
12,15,323,100
12,16,327,100
12,17,327,100
12,18,325,100
12,19,913,100
12,20,364,100
12,21,325,100
12,22,325,100
12,23,402,100
13,0,307,100
13,1,311,100
13,2,311,100
13,3,309,100
13,4,308,100
13,5,772,100
13,6,308,100
13,7,308,100
13,8,310,100
13,9,306,100
13,10,309,100
13,11,309,100
13,12,309,100
13,13,312,100
13,14,311,100
13,15,309,100
13,16,307,100
13,17,308,100
13,18,312,100
13,19,307,100
13,20,312,100
13,21,305,100
13,22,302,100
13,23,302,100
14,0,362,100
14,1,350,100
14,2,354,100
14,3,1201,91.67
14,4,1163,91.67
14,5,3520,75
14,6,352,100
14,7,354,100
14,8,359,100
14,9,342,100
14,10,367,100
14,11,385,100
14,12,361,100
14,13,373,100
14,14,354,100
14,15,353,100
14,16,340,100
14,17,352,100
14,18,363,100
14,19,373,100
14,20,357,100
14,21,341,100
14,22,367,100
14,23,349,100
15,0,300,100
15,1,283,100
15,2,290,100
15,3,280,100
15,4,285,100
15,5,311,100
15,6,292,100
