index,hour,latency,uptime
0,0,42,100
0,1,41,100
0,2,41,100
0,3,42,100
0,4,41,100
0,5,41,100
0,6,44,100
0,7,44,100
0,8,44,100
0,9,42,100
0,10,42,100
0,11,43,100
0,12,41,100
0,13,43,100
0,14,42,100
0,15,41,100
0,16,41,100
0,17,126,100
0,18,41,100
0,19,41,100
0,20,44,100
0,21,42,100
0,22,41,100
0,23,42,100
1,0,171,100
1,1,205,100
1,2,169,100
1,3,164,100
1,4,176,100
1,5,170,100
1,6,166,100
1,7,261,100
1,8,181,100
1,9,215,100
1,10,168,100
1,11,217,100
1,12,201,100
1,13,214,100
1,14,371,100
1,15,201,100
1,16,382,100
1,17,197,100
1,18,194,100
1,19,601,100
1,20,163,100
1,21,179,100
1,22,192,100
1,23,176,100
2,0,206,100
2,1,415,100
2,2,232,100
2,3,165,100
2,4,292,100
2,5,188,100
2,6,170,100
2,7,190,100
2,8,202,100
2,9,236,100
2,10,213,100
2,11,177,100
2,12,385,100
2,13,366,100
2,14,185,100
2,15,216,100
2,16,1014,91.67
2,17,641,100
2,18,172,100
2,19,195,100
2,20,164,100
2,21,166,100
2,22,172,100
2,23,171,100
3,0,224,100
3,1,177,100
3,2,265,100
3,3,178,100
3,4,202,100
3,5,608,100
3,6,198,100
3,7,246,100
3,8,473,100
3,9,520,100
3,10,183,100
3,11,620,100
3,12,916,100
3,13,182,100
3,14,313,100
3,15,186,100
3,16,188,100
3,17,182,100
3,18,177,100
3,19,216,100
3,20,177,100
3,21,178,100
3,22,191,100
3,23,175,100
4,0,247,91.67
4,1,192,100
4,2,366,91.67
4,3,163,83.33
4,4,583,100
4,5,161,91.67
4,6,160,91.67
4,7,169,100
4,8,993,91.67
4,9,169,100
4,10,174,100
4,11,184,100
4,12,173,91.67
4,13,196,100
4,14,1007,91.67
4,15,184,100
4,16,179,100
4,17,176,100
4,18,172,100
4,19,233,100
4,20,162,100
4,21,179,100
4,22,167,91.67
4,23,189,100
5,0,596,100
5,1,187,100
5,2,164,100
5,3,168,100
5,4,181,100
5,5,164,100
5,6,167,100
5,7,189,100
5,8,164,100
5,9,189,100
5,10,175,100
5,11,994,91.67
5,12,196,100
5,13,202,100
5,14,667,100
5,15,172,100
5,16,184,100
5,17,175,100
5,18,166,100
5,19,186,100
5,20,180,100
5,21,160,100
5,22,174,100
5,23,165,100
6,0,167,91.67
6,1,484,91.67
6,2,161,100
6,3,201,100
6,4,184,100
6,5,177,100
6,6,209,100
6,7,171,100
6,8,172,100
6,9,166,100
6,10,176,100
6,11,209,100
6,12,219,100
6,13,168,100
6,14,174,100
6,15,169,100
6,16,173,100
6,17,168,100
6,18,194,100
6,19,174,100
6,20,194,100
6,21,189,100
6,22,167,100
6,23,178,91.67
7,0,169,100
7,1,166,100
7,2,175,100
7,3,163,100
7,4,170,100
7,5,256,100
7,6,171,100
7,7,195,100
7,8,237,100
7,9,165,100
7,10,172,100
7,11,171,100
7,12,182,100
7,13,1010,91.67
7,14,171,100
7,15,168,100
7,16,167,100
7,17,467,100
7,18,212,100
7,19,199,100
7,20,167,100
7,21,183,100
7,22,174,100
7,23,168,100
8,0,178,100
8,1,182,100
8,2,169,100
8,3,167,100
8,4,160,100
8,5,166,100
8,6,168,100
8,7,589,100
8,8,168,100
8,9,187,100
8,10,169,100
8,11,266,100
8,12,186,100
8,13,169,100
8,14,172,100
8,15,267,100
8,16,1022,91.67
8,17,223,100
8,18,163,100
8,19,167,100
8,20,160,100
8,21,164,100
8,22,175,100
8,23,161,100
9,0,181,100
9,1,170,100
9,2,161,100
9,3,173,100
9,4,574,100
9,5,170,100
9,6,171,100
9,7,163,100
9,8,174,100
9,9,173,100
9,10,166,100
9,11,380,100
9,12,171,100
9,13,165,100
9,14,271,100
9,15,170,100
9,16,180,100
9,17,172,100
9,18,253,100
9,19,168,100
9,20,162,100
9,21,184,100
9,22,164,100
9,23,179,100
10,0,313,100
10,1,313,100
10,2,317,100
10,3,316,100
10,4,315,100
10,5,315,100
10,6,317,100
10,7,314,100
10,8,316,100
10,9,313,100
