index,hour,latency,uptime
0,0,43,100
0,1,43,100
0,2,43,100
0,3,43,100
0,4,43,100
0,5,42,100
0,6,45,100
0,7,44,100
0,8,44,100
0,9,45,100
0,10,49,100
0,11,45,100
0,12,44,100
0,13,46,100
0,14,45,100
0,15,46,100
0,16,50,100
0,17,52,100
0,18,48,100
0,19,44,100
0,20,68,100
0,21,46,100
0,22,43,100
0,23,43,100
1,0,192,100
1,1,163,91.67
1,2,994,100
1,3,195,100
1,4,198,91.67
1,5,178,100
1,6,212,100
1,7,206,100
1,8,176,91.67
1,9,198,100
1,10,1027,100
1,11,173,100
1,12,168,100
1,13,175,100
1,14,166,91.67
1,15,171,100
1,16,194,100
1,17,190,91.67
1,18,191,100
1,19,167,100
1,20,170,100
1,21,164,91.67
1,22,380,91.67
1,23,180,91.67
2,0,245,100
2,1,395,100
2,2,174,100
2,3,380,100
2,4,175,100
2,5,191,100
2,6,431,100
2,7,201,100
2,8,409,100
2,9,208,100
2,10,165,100
2,11,170,100
2,12,393,100
2,13,188,100
2,14,391,100
2,15,200,100
2,16,184,100
2,17,183,100
2,18,182,100
2,19,172,100
2,20,171,100
2,21,350,100
2,22,213,100
2,23,169,100
3,0,218,100
3,1,190,100
3,2,231,100
3,3,200,100
3,4,305,100
3,5,181,100
3,6,210,100
3,7,196,100
3,8,615,100
3,9,198,100
3,10,175,100
3,11,175,100
3,12,291,100
3,13,202,100
3,14,261,100
3,15,178,100
3,16,209,100
3,17,210,100
3,18,176,100
3,19,177,100
3,20,187,100
3,21,208,100
3,22,263,100
3,23,416,100
4,0,235,100
4,1,239,100
4,2,182,100
4,3,199,100
4,4,199,100
4,5,172,100
4,6,454,100
4,7,192,100
4,8,175,100
4,9,173,100
4,10,177,100
4,11,195,100
4,12,181,100
4,13,189,100
4,14,203,100
4,15,195,100
4,16,179,100
4,17,462,100
4,18,171,100
4,19,168,100
4,20,178,100
4,21,181,100
4,22,168,100
4,23,610,100
5,0,216,100
5,1,167,91.67
5,2,603,100
5,3,169,100
5,4,171,91.67
5,5,191,100
5,6,195,91.67
5,7,178,100
5,8,194,100
5,9,232,100
5,10,172,100
5,11,166,100
5,12,176,100
5,13,177,100
5,14,176,91.67
5,15,271,100
5,16,184,100
5,17,166,91.67
5,18,175,91.67
5,19,163,91.67
5,20,180,100
5,21,191,100
5,22,405,100
5,23,193,91.67
6,0,182,100
6,1,167,100
6,2,195,100
6,3,186,100
6,4,181,100
6,5,174,100
6,6,181,100
6,7,174,100
6,8,169,100
6,9,200,100
6,10,991,91.67
6,11,251,100
6,12,172,100
6,13,179,100
6,14,988,91.67
6,15,200,100
6,16,195,100
6,17,393,100
6,18,169,100
6,19,173,100
6,20,180,100
6,21,179,100
6,22,275,100
6,23,177,100
7,0,173,100
7,1,171,100
7,2,162,100
7,3,193,100
7,4,169,100
7,5,174,100
7,6,203,100
7,7,277,100
7,8,183,100
7,9,182,100
7,10,170,100
7,11,165,100
7,12,171,100
7,13,260,100
7,14,207,100
7,15,295,100
7,16,168,100
7,17,174,100
7,18,312,100
7,19,171,100
