index,hour,latency,uptime
0,0,42,100
0,1,43,100
0,2,43,100
0,3,43,100
0,4,129,100
0,5,44,100
0,6,46,100
0,7,45,100
0,8,44,100
0,9,44,100
0,10,43,100
0,11,63,100
0,12,43,100
0,13,45,100
0,14,45,100
0,15,52,100
0,16,44,100
0,17,45,100
0,18,376,100
0,19,44,100
0,20,43,100
0,21,45,100
0,22,43,100
0,23,42,100
1,0,177,100
1,1,242,100
1,2,197,100
1,3,289,100
1,4,184,100
1,5,161,91.67
1,6,233,100
1,7,189,100
1,8,173,100
1,9,607,100
1,10,171,100
1,11,170,100
1,12,200,100
1,13,174,100
1,14,265,100
1,15,186,100
1,16,171,100
1,17,185,100
1,18,169,100
1,19,1044,100
1,20,185,100
1,21,172,100
1,22,199,100
1,23,176,100
2,0,486,100
2,1,230,100
2,2,1100,100
2,3,668,100
2,4,564,100
2,5,223,100
2,6,185,100
2,7,218,100
2,8,174,100
2,9,178,100
2,10,374,100
2,11,519,100
2,12,203,100
2,13,176,100
2,14,261,100
2,15,198,100
2,16,178,100
2,17,170,100
2,18,188,100
2,19,174,100
2,20,181,100
2,21,387,100
2,22,164,100
2,23,200,100
3,0,569,100
3,1,196,100
3,2,186,100
3,3,217,100
3,4,212,100
3,5,210,100
3,6,188,100
3,7,194,100
3,8,200,100
3,9,545,100
3,10,187,100
3,11,188,100
3,12,207,100
3,13,602,100
3,14,206,100
3,15,185,100
3,16,999,91.67
3,17,233,100
3,18,185,100
3,19,404,100
3,20,535,100
3,21,208,100
3,22,227,100
3,23,434,100
4,0,408,100
4,1,277,100
4,2,193,100
4,3,377,100
4,4,174,100
4,5,176,100
4,6,279,100
4,7,194,100
4,8,182,100
4,9,223,100
4,10,206,100
4,11,181,100
4,12,175,100
4,13,176,100
4,14,613,100
4,15,209,100
4,16,183,100
4,17,224,100
4,18,181,100
4,19,179,100
4,20,165,100
4,21,174,100
4,22,611,100
4,23,260,100
5,0,1009,91.67
5,1,173,100
5,2,201,100
5,3,233,100
5,4,202,100
5,5,167,91.67
5,6,177,100
5,7,215,100
5,8,176,100
5,9,171,91.67
5,10,397,100
5,11,178,100
5,12,223,100
5,13,179,100
5,14,185,100
5,15,290,100
5,16,253,100
5,17,308,100
5,18,512,100
5,19,177,100
5,20,177,100
5,21,177,100
5,22,184,100
5,23,192,100
6,0,192,100
6,1,290,100
6,2,196,100
6,3,272,100
6,4,376,100
6,5,168,100
6,6,199,100
6,7,178,100
6,8,398,100
6,9,210,100
6,10,405,100
6,11,197,100
6,12,314,100
6,13,201,100
6,14,192,100
6,15,201,100
6,16,167,100
6,17,179,100
6,18,172,100
6,19,175,100
6,20,171,100
6,21,170,100
6,22,1018,91.67
6,23,190,100
7,0,166,100
7,1,608,100
7,2,174,100
7,3,197,100
7,4,289,100
7,5,423,100
7,6,339,100
7,7,173,100
7,8,170,100
7,9,209,100
7,10,174,100
7,11,181,100
7,12,174,100
7,13,171,100
7,14,612,100
7,15,171,100
7,16,193,100
7,17,179,100
7,18,204,100
7,19,168,100
7,20,468,100
7,21,193,100
7,22,287,100
7,23,169,100
8,0,196,100
8,1,300,100
8,2,174,100
8,3,186,100
8,4,172,100
8,5,169,100
8,6,184,100
8,7,609,100
8,8,171,100
8,9,203,100
8,10,195,100
8,11,208,100
8,12,199,100
8,13,184,100
8,14,181,100
8,15,179,100
8,16,169,100
8,17,181,100
8,18,175,100
8,19,198,100
8,20,510,100
8,21,277,100
8,22,188,100
8,23,168,100
9,0,301,100
9,1,179,100
9,2,189,100
9,3,173,100
9,4,183,100
9,5,175,100
9,6,190,100
9,7,183,100
9,8,200,100
9,9,189,100
9,10,177,100
9,11,186,100
9,12,179,100
9,13,381,100
9,14,178,100
9,15,175,100
9,16,171,100
9,17,283,100
9,18,318,100
9,19,185,100
9,20,447,100
9,21,168,100
9,22,179,100
9,23,252,100
10,0,310,100
10,1,309,100
10,2,310,100
10,3,306,100
10,4,312,100
10,5,314,100
10,6,314,100
10,7,317,100
10,8,317,100
10,9,311,100
10,10,313,100
10,11,315,100
10,12,322,100
10,13,318,100
10,14,330,100
10,15,314,100
10,16,317,100
10,17,314,100
10,18,312,100
10,19,312,100
10,20,316,100
10,21,313,100
10,22,318,100
10,23,317,100
11,0,306,100
11,1,307,100
11,2,307,100
11,3,307,100
11,4,312,100
11,5,313,100
11,6,312,100
11,7,313,100
11,8,312,100
11,9,310,100
11,10,316,100
11,11,313,100
11,12,314,100
11,13,313,100
11,14,315,100
11,15,310,100
11,16,316,100
11,17,311,100
11,18,311,100
11,19,311,100
11,20,312,100
11,21,314,100
11,22,311,100
11,23,313,100
12,0,337,100
12,1,346,100
12,2,327,100
12,3,330,100
12,4,663,100
12,5,345,100
12,6,338,100
12,7,334,100
12,8,342,100
12,9,600,100
12,10,333,100
12,11,332,100
12,12,335,100
12,13,356,100
12,14,624,100
12,15,338,100
12,16,341,100
12,17,432,100
12,18,333,100
12,19,353,100
12,20,355,100
12,21,926,100
12,22,371,100
12,23,358,100
13,0,304,100
13,1,308,100
13,2,304,100
13,3,310,100
13,4,310,100
13,5,312,100
13,6,311,100
13,7,308,100
13,8,315,100
13,9,310,100
13,10,310,100
13,11,314,100
13,12,310,100
13,13,311,100
13,14,316,100
13,15,312,100
13,16,314,100
13,17,316,100
13,18,315,100
13,19,315,100
13,20,310,100
13,21,315,100
13,22,314,100
13,23,310,100
14,0,430,100
14,1,1058,100
14,2,377,100
14,3,990,100
14,4,363,100
14,5,388,100
14,6,363,100
14,7,383,100
14,8,383,100
14,9,368,100
14,10,523,100
14,11,444,100
14,12,393,100
14,13,447,100
14,14,361,100
14,15,381,100
14,16,373,100
14,17,681,100
14,18,351,100
14,19,381,100
14,20,341,100
14,21,369,100
14,22,374,100
14,23,364,100
15,0,308,100
15,1,313,100
15,2,314,100
15,3,318,100
15,4,308,100
15,5,316,100
15,6,313,100
15,7,322,100
15,8,384,100
15,9,347,100
15,10,329,100
15,11,385,100
15,12,355,100
15,13,417,100
15,14,377,100
15,15,379,100
15,16,355,100
15,17,349,100
15,18,351,100
15,19,352,100
15,20,338,100
15,21,321,100
15,22,320,100
15,23,314,100
16,0,201,100
16,1,201,100
16,2,206,100
16,3,200,100
16,4,205,100
16,5,201,100
16,6,216,100
16,7,232,100
16,8,279,100
16,9,242,100
16,10,240,100
16,11,302,100
16,12,290,100
16,13,267,100
16,14,242,100
16,15,286,100
16,16,261,100
16,17,262,100
16,18,237,100
16,19,240,100
16,20,240,100
16,21,222,100
16,22,218,100
16,23,220,100
17,0,40,100
17,1,44,100
17,2,24,100
17,3,25,100
17,4,25,100
17,5,41,100
17,6,33,100
17,7,47,100
17,8,49,100
17,9,42,100
17,10,43,100
17,11,45,100
17,12,38,100
17,13,38,100
17,14,43,100
17,15,33,100
17,16,38,100
17,17,45,100
17,18,63,100
17,19,48,100
17,20,43,100
17,21,49,100
17,22,35,100
17,23,29,100
18,0,35,100
18,1,39,100
18,2,42,100
18,3,48,100
18,4,47,100
18,5,53,100
18,6,64,100
18,7,78,100
18,8,81,100
18,9,51,100
18,10,46,100
