index,hour,latency,uptime
0,0,61,100
0,1,43,100
0,2,45,100
0,3,43,100
0,4,43,100
0,5,43,100
0,6,130,100
0,7,45,100
0,8,44,100
0,9,58,100
0,10,44,100
0,11,44,100
0,12,68,100
0,13,44,100
0,14,44,100
0,15,43,100
0,16,47,100
0,17,43,100
0,18,48,100
0,19,47,100
0,20,43,100
0,21,43,100
0,22,42,100
0,23,43,100
1,0,164,100
1,1,165,100
1,2,164,100
1,3,161,100
1,4,167,100
1,5,168,100
1,6,166,100
1,7,167,100
1,8,175,100
1,9,191,100
1,10,195,100
1,11,172,100
1,12,198,100
1,13,167,100
1,14,272,100
1,15,195,100
1,16,170,100
1,17,190,100
1,18,171,100
1,19,170,100
1,20,169,100
1,21,168,100
1,22,169,100
1,23,191,100
2,0,167,100
2,1,168,100
2,2,172,100
2,3,177,100
2,4,166,100
2,5,169,100
2,6,182,100
2,7,175,100
2,8,172,100
2,9,177,100
2,10,173,100
2,11,173,100
2,12,184,100
2,13,174,100
2,14,176,100
2,15,212,100
2,16,174,100
2,17,171,100
2,18,172,100
2,19,258,100
2,20,168,100
2,21,177,100
2,22,251,100
2,23,168,100
3,0,172,100
3,1,178,100
3,2,171,100
3,3,172,100
3,4,177,100
3,5,175,100
3,6,190,100
3,7,207,100
3,8,183,100
3,9,179,100
3,10,208,100
3,11,177,100
3,12,184,100
3,13,185,100
3,14,182,100
3,15,180,100
3,16,194,100
3,17,178,100
3,18,182,100
3,19,221,100
3,20,175,100
3,21,202,100
3,22,178,100
3,23,181,100
4,0,169,100
4,1,168,100
4,2,163,100
4,3,173,100
4,4,212,100
4,5,164,100
4,6,199,100
4,7,174,100
4,8,228,100
4,9,179,100
4,10,172,100
4,11,170,100
4,12,172,100
4,13,194,100
4,14,175,100
4,15,217,100
4,16,194,100
4,17,165,100
4,18,167,100
4,19,166,100
4,20,172,100
4,21,197,100
4,22,196,100
4,23,168,100
5,0,161,100
5,1,162,100
5,2,985,91.67
5,3,200,100
5,4,164,100
5,5,167,100
5,6,167,100
5,7,162,100
5,8,165,100
5,9,196,100
5,10,181,100
5,11,188,100
5,12,190,100
5,13,192,100
5,14,197,100
5,15,174,100
5,16,167,100
5,17,166,100
5,18,195,100
5,19,167,100
5,20,214,100
5,21,165,100
5,22,192,100
5,23,189,100
6,0,174,100
6,1,184,100
6,2,166,100
6,3,166,100
6,4,188,100
6,5,187,100
6,6,164,100
6,7,178,100
6,8,174,100
6,9,218,100
6,10,171,100
6,11,171,100
6,12,203,100
6,13,173,100
6,14,256,100
6,15,215,100
6,16,216,100
6,17,173,100
6,18,186,100
6,19,170,100
6,20,164,100
6,21,164,100
6,22,192,100
6,23,168,100
7,0,161,100
7,1,166,100
7,2,163,100
7,3,336,100
7,4,166,100
7,5,168,100
7,6,171,100
7,7,185,100
7,8,168,100
7,9,169,100
7,10,173,100
7,11,201,100
7,12,167,100
7,13,169,100
7,14,172,100
7,15,185,100
7,16,171,100
7,17,166,100
7,18,168,100
7,19,168,100
7,20,169,100
7,21,177,100
7,22,165,100
7,23,163,100
8,0,162,100
8,1,166,100
8,2,164,100
8,3,166,100
8,4,165,100
8,5,164,100
8,6,167,100
8,7,169,100
8,8,166,100
8,9,175,100
8,10,169,100
8,11,170,100
8,12,276,100
8,13,179,100
8,14,173,100
8,15,189,100
8,16,170,100
8,17,170,100
8,18,166,100
8,19,192,100
8,20,173,100
8,21,170,100
8,22,171,100
8,23,172,100
9,0,169,100
9,1,161,100
9,2,164,100
9,3,165,100
9,4,163,100
9,5,165,100
9,6,164,100
9,7,168,100
9,8,166,100
9,9,167,100
9,10,170,100
9,11,171,100
9,12,380,100
9,13,175,100
9,14,167,100
9,15,168,100
9,16,216,100
9,17,165,100
9,18,173,100
9,19,168,100
9,20,188,100
9,21,251,100
9,22,165,100
9,23,166,100
10,0,306,100
10,1,307,100
10,2,308,100
10,3,307,100
10,4,307,100
10,5,307,100
10,6,308,100
10,7,305,100
10,8,304,100
10,9,305,100
10,10,307,100
10,11,307,100
10,12,400,100
10,13,308,100
10,14,306,100
10,15,305,100
10,16,307,100
10,17,305,100
10,18,306,100
10,19,305,100
10,20,305,100
10,21,307,100
10,22,307,100
10,23,305,100
11,0,302,100
11,1,306,100
11,2,308,100
11,3,308,100
11,4,307,100
11,5,306,100
11,6,306,100
11,7,308,100
11,8,307,100
11,9,305,100
11,10,305,100
11,11,306,100
11,12,308,100
11,13,304,100
11,14,304,100
11,15,305,100
11,16,303,100
11,17,307,100
11,18,304,100
11,19,306,100
11,20,305,100
11,21,306,100
11,22,305,100
11,23,304,100
12,0,316,100
12,1,327,100
12,2,318,100
12,3,319,100
12,4,323,100
12,5,328,100
12,6,321,100
12,7,321,100
12,8,321,100
12,9,322,100
12,10,353,100
12,11,397,100
12,12,463,100
12,13,319,100
12,14,318,100
12,15,318,100
12,16,332,100
12,17,322,100
12,18,320,100
12,19,318,100
12,20,335,100
12,21,320,100
12,22,317,100
12,23,417,100
13,0,305,100
13,1,303,100
13,2,305,100
13,3,304,100
13,4,304,100
13,5,304,100
13,6,306,100
13,7,306,100
13,8,304,100
13,9,305,100
13,10,304,100
13,11,304,100
13,12,310,100
13,13,307,100
13,14,304,100
13,15,306,100
13,16,306,100
13,17,304,100
13,18,305,100
13,19,303,100
13,20,302,100
13,21,304,100
13,22,304,100
13,23,304,100
14,0,355,100
14,1,349,100
14,2,347,100
14,3,359,100
14,4,345,100
14,5,337,100
14,6,358,100
14,7,349,100
14,8,367,100
14,9,345,100
14,10,348,100
14,11,1288,100
14,12,2064,83.33
14,13,359,100
14,14,362,100
14,15,356,100
14,16,355,100
14,17,365,100
14,18,377,100
14,19,366,100
14,20,358,100
14,21,345,100
14,22,361,100
14,23,352,100
15,0,281,100
15,1,297,100
15,2,300,100
15,3,286,100
15,4,287,100
15,5,278,100
15,6,312,100
15,7,294,100
15,8,299,100
15,9,323,100
15,10,299,100
15,11,310,100
15,12,340,100
15,13,340,100
15,14,320,100
15,15,308,100
15,16,316,100
15,17,308,100
15,18,363,100
15,19,324,100
15,20,315,100
15,21,292,100
15,22,288,100
15,23,329,100
16,0,199,100
16,1,209,100
16,2,205,100
16,3,198,100
16,4,200,100
16,5,209,100
16,6,239,100
16,7,227,100
16,8,229,100
16,9,234,100
16,10,230,100
16,11,239,100
16,12,652,100
16,13,234,100
16,14,237,100
16,15,230,100
16,16,221,100
16,17,224,100
16,18,243,100
16,19,238,100
16,20,234,100
16,21,219,100
16,22,214,100
16,23,273,100
17,0,26,100
17,1,33,100
17,2,36,100
17,3,33,100
17,4,33,100
17,5,34,100
17,6,36,100
17,7,40,100
17,8,39,100
17,9,41,100
17,10,41,100
17,11,42,100
17,12,66,100
17,13,43,100
17,14,42,100
17,15,45,100
17,16,43,100
17,17,44,100
17,18,44,100
17,19,44,100
17,20,47,100
17,21,38,100
17,22,35,100
17,23,32,100
18,0,27,100
18,1,26,100
18,2,27,100
18,3,24,100
18,4,29,100
18,5,40,100
18,6,48,100
18,7,48,100
18,8,48,100
18,9,52,100
18,10,58,100
18,11,58,100
18,12,47,100
18,13,43,100
18,14,40,100
18,15,39,100
18,16,44,100
18,17,44,100
18,18,40,100
18,19,40,100
18,20,43,100
18,21,34,100
18,22,35,100
18,23,34,100
19,0,27,100
19,1,26,100
19,2,32,100
19,3,30,100
19,4,31,100
19,5,32,100
19,6,35,100
19,7,38,100
19,8,36,100
19,9,39,100
19,10,38,100
19,11,37,100
19,12,40,100
19,13,41,100
19,14,39,100
19,15,40,100
19,16,40,100
19,17,37,100
19,18,35,100
19,19,32,100
19,20,27,100
19,21,23,100
19,22,24,100
19,23,24,100
20,0,31,100
20,1,33,100
20,2,25,100
20,3,24,100
20,4,25,100
20,5,27,100
20,6,26,100
20,7,28,100
20,8,30,100
20,9,29,100
20,10,28,100
20,11,40,100
20,12,42,100
20,13,38,100
20,14,36,100
20,15,36,100
20,16,40,100
20,17,36,100
20,18,39,100
20,19,41,100
20,20,41,100
20,21,40,100
20,22,38,100
20,23,33,100
21,0,111,100
21,1,52,100
21,2,67,100
21,3,49,100
21,4,59,100
21,5,80,100
21,6,85,100
21,7,106,100
21,8,64,100
21,9,51,100
21,10,278,100
21,11,240,100
21,12,113,100
21,13,109,100
21,14,103,100
21,15,119,100
21,16,130,100
21,17,59,100
21,18,51,100
21,19,117,100
21,20,119,100
21,21,66,100
21,22,58,100
21,23,82,100
22,0,131,100
22,1,69,100
22,2,66,100
22,3,71,100
22,4,66,100
22,5,72,100
22,6,253,100
22,7,65,100
22,8,87,100
22,9,46,100
22,10,80,100
22,11,72,100
22,12,89,100
22,13,114,100
22,14,112,100
22,15,136,100
22,16,134,100
22,17,169,100
22,18,257,100
22,19,139,100
22,20,119,100
22,21,91,100
22,22,71,100
22,23,71,100
23,0,24,100
23,1,33,100
23,2,25,100
23,3,25,100
23,4,26,100
23,5,49,100
23,6,29,100
23,7,34,100
23,8,33,100
23,9,40,100
23,10,40,100
23,11,39,100
23,12,40,100
23,13,65,100
23,14,41,100
23,15,43,100
23,16,39,100
23,17,40,100
23,18,36,100
23,19,36,100
23,20,28,100
23,21,24,100
23,22,32,100
23,23,22,100
24,0,18,100
24,1,22,100
24,2,22,100
24,3,21,100
24,4,22,100
24,5,22,100
24,6,28,100
24,7,24,100
24,8,57,100
24,9,33,100
24,10,32,100
24,11,32,100
24,12,27,100
24,13,32,100
24,14,32,100
24,15,30,100
24,16,76,100
24,17,33,100
24,18,29,100
24,19,29,100
24,20,29,100
24,21,28,100
24,22,27,100
24,23,25,100
25,0,18,100
25,1,26,100
25,2,22,100
25,3,22,100
25,4,23,100
25,5,50,100
25,6,24,100
25,7,28,100
25,8,32,100
25,9,30,100
25,10,32,100
25,11,31,100
25,12,35,100
25,13,35,100
25,14,64,100
25,15,35,100
25,16,37,100
25,17,29,100
25,18,31,100
25,19,32,100
25,20,28,100
25,21,25,100
25,22,50,100
25,23,22,100
26,0,18,100
26,1,23,100
26,2,25,100
26,3,24,100
26,4,25,100
26,5,25,100
26,6,51,100
26,7,29,100
26,8,35,100
26,9,41,100
26,10,35,100
26,11,39,100
26,12,36,100
26,13,33,100
26,14,43,100
26,15,35,100
26,16,34,100
26,17,36,100
26,18,30,100
26,19,49,100
26,20,30,100
26,21,28,100
26,22,35,100
26,23,23,100
27,0,458,100
27,1,544,100
27,2,478,100
27,3,377,100
27,4,323,100
27,5,404,100
27,6,385,100
27,7,421,100
27,8,420,100
27,9,387,100
27,10,458,100
27,11,427,100
27,12,435,100
27,13,427,100
27,14,405,100
27,15,450,100
27,16,390,100
27,17,422,100
27,18,457,100
27,19,429,100
27,20,472,100
27,21,376,100
27,22,359,100
27,23,369,100
