index,hour,latency,uptime
0,0,44,100
0,1,42,100
0,2,44,100
0,3,45,100
0,4,45,100
0,5,43,100
0,6,44,100
0,7,47,100
0,8,43,100
0,9,43,100
0,10,49,100
0,11,49,100
0,12,45,100
0,13,44,100
0,14,43,100
0,15,42,100
0,16,45,100
0,17,44,100
0,18,44,100
0,19,42,100
0,20,45,100
0,21,43,100
0,22,43,100
0,23,43,100
1,0,231,100
1,1,260,100
1,2,210,100
1,3,214,100
1,4,239,100
1,5,290,100
1,6,215,100
1,7,241,100
1,8,218,100
1,9,203,100
1,10,1016,91.67
1,11,212,100
1,12,284,100
1,13,190,100
1,14,213,100
1,15,202,100
1,16,197,100
1,17,236,100
1,18,186,100
1,19,325,100
1,20,257,100
1,21,194,100
1,22,243,100
1,23,211,100
2,0,172,100
2,1,187,100
2,2,164,100
2,3,183,100
2,4,189,100
2,5,168,100
2,6,172,100
2,7,197,100
2,8,202,100
2,9,270,100
2,10,174,100
2,11,201,100
2,12,265,100
2,13,192,100
2,14,172,100
2,15,221,100
2,16,197,100
2,17,169,100
2,18,600,100
2,19,177,100
2,20,277,100
2,21,187,100
2,22,218,100
2,23,195,100
3,0,198,100
3,1,204,100
3,2,180,100
3,3,184,100
3,4,219,100
3,5,178,100
3,6,191,100
3,7,222,100
3,8,298,100
3,9,188,100
3,10,229,100
3,11,178,100
3,12,179,100
3,13,174,100
3,14,184,100
3,15,262,100
3,16,200,100
3,17,182,100
3,18,258,100
3,19,180,100
3,20,193,100
3,21,202,100
3,22,180,100
3,23,175,100
4,0,314,100
4,1,187,100
4,2,285,100
4,3,242,100
4,4,232,100
4,5,169,100
4,6,261,100
4,7,228,100
4,8,441,100
4,9,411,100
4,10,203,100
4,11,466,100
4,12,172,100
4,13,242,100
4,14,215,100
4,15,687,100
4,16,211,100
4,17,278,100
4,18,248,100
4,19,194,100
4,20,304,100
4,21,166,100
4,22,256,100
4,23,215,100
5,0,237,100
5,1,240,100
5,2,210,100
5,3,178,100
5,4,362,100
5,5,1061,91.67
5,6,174,100
5,7,266,100
5,8,262,100
5,9,197,100
5,10,262,100
5,11,212,100
5,12,269,100
5,13,640,100
5,14,209,100
5,15,200,100
5,16,217,100
5,17,240,100
5,18,220,100
5,19,194,100
5,20,193,100
5,21,174,100
5,22,212,100
5,23,171,100
6,0,232,100
6,1,212,100
6,2,233,100
6,3,236,100
6,4,297,100
6,5,236,100
6,6,361,100
6,7,324,100
6,8,235,100
6,9,215,100
6,10,221,100
6,11,211,100
6,12,193,100
6,13,211,100
6,14,196,100
6,15,236,100
6,16,210,100
6,17,423,100
6,18,253,100
6,19,197,100
6,20,210,100
6,21,192,100
6,22,185,100
6,23,186,100
7,0,178,100
7,1,169,100
7,2,171,100
7,3,169,100
7,4,173,100
7,5,191,100
7,6,170,100
7,7,191,100
7,8,171,100
7,9,171,100
7,10,196,100
7,11,200,100
7,12,264,100
7,13,169,100
7,14,172,100
7,15,167,100
7,16,257,100
7,17,173,100
7,18,209,100
7,19,168,100
7,20,165,100
7,21,165,100
7,22,167,100
7,23,170,100
8,0,163,100
8,1,172,100
8,2,163,100
8,3,188,100
8,4,164,100
8,5,164,100
8,6,164,100
8,7,171,100
8,8,179,100
8,9,173,100
8,10,166,100
8,11,168,100
8,12,166,100
8,13,164,100
8,14,168,100
8,15,166,100
8,16,177,100
8,17,164,100
8,18,248,100
8,19,174,100
8,20,166,100
8,21,164,100
8,22,162,100
8,23,165,100
9,0,160,100
9,1,164,100
9,2,164,100
9,3,168,100
9,4,162,100
9,5,164,100
9,6,165,100
9,7,167,100
9,8,172,100
9,9,167,100
9,10,168,100
9,11,167,100
9,12,176,100
9,13,162,100
9,14,587,100
9,15,168,100
9,16,165,100
9,17,177,100
9,18,399,100
9,19,170,100
9,20,164,100
9,21,177,100
9,22,170,100
9,23,254,100
10,0,308,100
10,1,306,100
10,2,309,100
10,3,319,100
10,4,310,100
10,5,309,100
10,6,307,100
10,7,305,100
10,8,309,100
10,9,306,100
10,10,308,100
10,11,304,100
10,12,304,100
10,13,308,100
10,14,307,100
10,15,307,100
10,16,313,100
10,17,304,100
10,18,305,100
10,19,308,100
10,20,322,100
10,21,305,100
10,22,308,100
10,23,306,100
11,0,306,100
11,1,304,100
11,2,348,100
11,3,316,100
11,4,302,100
11,5,303,100
11,6,303,100
11,7,302,100
11,8,303,100
11,9,302,100
11,10,305,100
11,11,302,100
11,12,303,100
11,13,307,100
11,14,305,100
11,15,303,100
11,16,311,100
11,17,303,100
11,18,303,100
11,19,302,100
11,20,312,100
11,21,304,100
11,22,304,100
11,23,303,100
12,0,319,100
12,1,319,100
12,2,326,100
12,3,349,100
12,4,321,100
12,5,334,100
12,6,320,100
12,7,316,100
12,8,328,100
12,9,333,100
12,10,318,100
12,11,321,100
12,12,325,100
12,13,1134,91.67
12,14,322,100
12,15,330,100
12,16,329,100
12,17,325,100
12,18,385,100
12,19,326,100
12,20,389,100
12,21,323,100
12,22,332,100
12,23,328,100
13,0,306,100
13,1,304,100
13,2,307,100
13,3,312,100
13,4,304,100
13,5,302,100
13,6,305,100
13,7,302,100
13,8,305,100
13,9,306,100
13,10,305,100
13,11,310,100
13,12,308,100
13,13,305,100
